IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.17.136.170,4,1,0.75,73.26,0.00,N/A
104.17.140.56,4,1,0.75,84.64,0.00,N/A
141.101.115.59,4,3,0.25,95.49,0.00,N/A
141.101.122.135,4,3,0.25,98.96,0.00,N/A
104.17.126.100,4,1,0.75,104.50,0.00,N/A
108.162.198.34,4,3,0.25,108.00,0.00,N/A
173.245.59.13,4,4,0.00,125.91,0.43,HKG
108.162.194.127,4,4,0.00,135.48,0.24,LAX
104.17.117.6,4,2,0.50,146.10,0.00,N/A
190.93.246.4,4,3,0.25,148.21,0.00,N/A
104.17.118.214,4,1,0.75,149.55,0.00,N/A
104.17.148.83,4,2,0.50,159.23,0.00,N/A
104.17.141.105,4,2,0.50,168.81,0.00,N/A
104.17.121.71,4,1,0.75,169.38,0.00,N/A
104.17.123.154,4,3,0.25,169.67,0.00,N/A
108.162.193.238,4,2,0.50,170.51,0.00,N/A
